golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18,Phone Number,Email address,Course Rating Men ,Slope Rating Men,Course Rating Women,Slope Rating Women
Bear Creek Golf Club - East,18,USA ,Texas,Dallas,32.860455,97.0580667,7,1,15,9,5,13,17,3,11,8,14,12,6,16,2,4,18,10,5,4,3,5,4,4,3,4,4,5,4,4,4,3,4,5,3,4,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,(972) 456-3200,dvandiver@bearcreek-golf.com,,,,
Bear Creek Golf Club - West,18,USA ,Texas,Dallas,32.860455,97.0580667,17,5,3,7,15,9,1,13,11,8,4,16,2,14,10,12,18,6,4,4,4,5,3,5,4,3,4,5,4,4,4,3,5,4,3,4,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,Gold|Blue|Red,(972) 456-3200,dvandiver@bearcreek-golf.com,,,,
Bent Tree Country Club,18,USA ,Texas,Dallas,32.9790695,96.8196907,11,5,9,3,17,1,7,15,13,16,10,4,14,8,2,12,18,6,4,4,5,4,3,4,4,3,4,4,4,4,5,3,4,5,3,4,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,White|Yellow|Blue|Red,(972) 931-3310,sraidt@benttreecc.org,,,,
Brookhaven Club Championship,18,USA ,Texas,Dallas,32.9376643,96.8649737,11,13,5,15,9,7,17,1,3,2,16,12,14,8,4,10,18,6,5,3,4,5,4,4,3,4,4,4,3,5,4,5,4,4,3,4,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,(972) 241-2761,contactus@brookhavenClub.com,,,,
Brookhaven Club Masters,18,USA ,Texas,Dallas,32.9376643,96.8649737,18,4,14,6,8,2,12,16,10,1,15,11,5,9,13,17,7,3,4,4,3,5,4,3,4,5,4,4,3,5,4,4,4,5,3,4,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,(972) 241-2761,contactus@brookhavenClub.com,,,,
Brookhaven Club Presidents,18,USA ,Texas,Dallas,32.9376643,96.8649737,16,8,6,2,14,12,4,18,10,15,1,11,5,9,17,3,7,13,3,4,4,4,4,4,4,3,4,4,5,3,4,4,4,3,5,4,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,Black|Silver|Bronze,(972) 241-2761,contactus@brookhavenClub.com,,,,
Cedar Crest Park Golf Course,18,USA ,Texas,Dallas,32.7218636,96.7935745,2,17,3,6,13,10,9,16,12,1,4,15,18,8,7,11,5,14,5,4,3,4,4,3,5,4,3,4,3,4,4,5,3,5,3,4,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,Silver|Gold|Black,(214) 670-7615,imcgraw@golfcedarcrest.com,,,,
Cross Creek Golf Course,18,USA ,Texas,Dallas,32.8851876,97.5664855,1,7,5,15,3,11,9,17,13,2,18,4,10,12,8,14,16,6,4,5,4,3,5,4,3,4,4,4,5,4,3,5,4,3,4,4,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,Blue|White|Gold|Red,(503) 623-6666,ccgc@crosscreekgc.com,,,,
DAC Blue Course,18,USA ,Texas,Dallas,32.841374,96.644854,11,7,3,13,1,5,17,15,9,10,2,16,8,18,6,14,4,12,5,4,5,3,4,4,3,4,4,5,4,4,5,3,4,3,4,4,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,,,,,,
DAC Gold,18,USA ,Texas,Dallas,32.841374,96.644854,3,17,9,5,15,1,7,11,13,14,2,10,8,12,18,4,16,6,4,3,5,4,3,4,4,4,4,4,5,4,5,4,3,4,3,5,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,Gold|Blue,,,,,,
