golf_course_name,number_of_holes,country_name,state_name,city_name,latitude,longitude,hole_index_1,hole_index_2,hole_index_3,hole_index_4,hole_index_5,hole_index_6,hole_index_7,hole_index_8,hole_index_9,hole_index_10,hole_index_11,hole_index_12,hole_index_13,hole_index_14,hole_index_15,hole_index_16,hole_index_17,hole_index_18,par_value_1,par_value_2,par_value_3,par_value_4,par_value_5,par_value_6,par_value_7,par_value_8,par_value_9,par_value_10,par_value_11,par_value_12,par_value_13,par_value_14,par_value_15,par_value_16,par_value_17,par_value_18,tee_value1,tee_value2,tee_value3,tee_value4,tee_value5,tee_value6,tee_value7,tee_value8,tee_value9,tee_value10,tee_value11,tee_value12,tee_value13,tee_value14,tee_value15,tee_value16,tee_value17,tee_value18
Manila Southwoods - Masters course,18,Phillipines,Manila,manila,14.3216795,121.043155,11,3,15,7,17,1,5,13,9,2,4,12,16,6,10,8,18,14,4,4,3,5,3,4,4,5,4,4,4,4,3,4,5,4,3,5,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red
Manila Southwoods - Legends course,18,Phillipines,Manila,manila,14.322067,121.0421566,13,9,15,3,1,7,17,11,5,8,16,14,12,10,6,18,2,4,4,4,3,4,4,5,3,5,4,4,4,3,4,5,4,3,5,4,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red,Yellow|Blue|White|Red
The Oconee Reynolds - Oconee,18,United States,Georgia,Oconee,33.439118,-83.1968983,9,11,1,17,15,7,5,13,3,14,8,10,12,6,18,2,16,4,5,4,4,4,3,4,5,3,4,5,4,4,3,4,3,4,5,4,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
The Oconee Reynolds - Plantations course,18,United States,Georgia,Oconee,33.4704075,-83.2546198,7,13,17,9,1,11,5,15,3,6,18,10,12,8,16,2,14,4,4,4,3,4,5,4,5,3,5,4,3,4,4,4,3,5,3,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
The Oconee Reynolds - Great waters,18,United States,Georgia,Oconee,33.3939877,-83.2684052,9,17,5,15,1,13,3,11,7,4,16,10,6,18,14,2,12,8,4,5,4,3,4,5,4,3,4,4,4,5,4,3,4,4,3,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
The Oconee Reynolds - The Creek Club,18,United States,Georgia,Oconee,33.4704075,-83.2546198,11,17,3,5,1,13,7,15,9,2,6,4,16,8,18,10,14,12,5,4,4,3,4,4,3,5,4,4,3,5,3,5,4,4,3,5,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
The Oconee Reynolds - The Landings,18,United States,Georgia,Oconee,33.4703855,-83.2480537,3,13,15,1,11,9,17,5,7,6,8,2,10,12,4,14,18,16,4,5,3,4,4,5,3,4,4,4,3,4,4,5,4,5,3,4,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red,Black|Blue|White|Red
The Burhill Golf Club - Old Course,18,United Kingdom,Surrey,Hersham,51.3530718,-0.419316,7,14,3,12,1,17,9,4,13,5,10,18,15,8,2,16,6,11,4,4,5,4,4,3,4,4,4,3,4,4,3,5,4,3,4,4,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red,White|Yellow|Red
The Burhill Golf Club - New Course,18,United Kingdom,Surrey,Hersham,51.3530718,-0.419316,10,4,16,12,8,2,6,18,14,7,9,13,1,15,3,11,5,17,4,5,4,3,5,4,4,3,4,4,5,3,5,4,4,4,4,3,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red,Black|White|Yellow|Red
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
